file, bench, mof, mps
markshare2, 2179, 3617, 2319
ns1208400, 258129, 206837, 267082
cryptanalysiskb128n5obj16, 1765584, 2092823, 1927806
lectsched-5-obj, 1029612, 1022736, 1068213
mas76, 9186, 10216, 8334
highschool1-aigio, 7464764, 8631443, 8395676
seymour, 142768, 105301, 137335
30n20b8, 523719, 631671, 481950
cmflsp50-24-8-8, 852638, 680224, 765681
binkar10_1, 30533, 52849, 44293
neos-4647030-tutaki, 10340987, 12135697, 10464606
mad, 16882, 18110, 14637
gmu-35-50, 68420, 78519, 58130
s100, 11354025, 15373128, 11182270
uct-subprob, 74931, 72643, 70303
glass4, 11465, 13297, 11705
icir97_tension, 106088, 85696, 93154
supportcase22, 7906114, 4729198, 7957692
bnatt500, 154193, 182869, 160774
neos-3988577-wolgan, 1331706, 1233888, 1485166
neos-5093327-huahum, 2654598, 2962493, 2954617
bppc4-08, 77423, 65015, 70945
blp-ar98, 1006691, 1119317, 928724
roi5alpha10n8, 18877110, 20093832, 18918044
reblock115, 98516, 98495, 100775
supportcase12, 13212147, 18928798, 15643003
neos-950242, 521081, 433702, 533886
peg-solitaire-a3, 188324, 189455, 164890
comp07-2idx, 537855, 560869, 571398
neos-3216931-puriri, 361129, 339769, 381402
sct2, 122939, 159279, 135159
nursesched-sprint02, 888719, 674632, 741708
proteindesign122trx11p8, 2158150, 3941380, 2464875
lotsize, 48803, 76263, 62469
cryptanalysiskb128n5obj14, 1765615, 2092789, 1927813
map16715-04, 4059102, 4249542, 5071621
buildingenergy, 4483468, 4591613, 5511134
rail507, 1857299, 2640420, 1849349
cod105, 200503, 154811, 180802
beasleyC3, 35144, 53629, 50843
neos8, 1291940, 1275172, 1403145
chromaticindex512-7, 1073824, 1610294, 1138887
mcsched, 45739, 62221, 50173
cost266-UUE, 103586, 121997, 103587
neos859080, 6320, 6871, 5768
rd-rplusc-21, 3957712, 2066750, 3542302
satellites2-40, 1166802, 1335760, 1291361
neos-4722843-widden, 1761006, 2223094, 2132299
roi2alpha3n4, 7054282, 7134254, 6862435
k1mushroom, 4664966, 3570558, 4676340
mik-250-20-75-4, 45471, 50856, 46480
nexp-150-20-8-5, 257609, 486272, 349604
neos-2075418-temuka, 23443590, 16933587, 24110431
ran14x18-disj-8, 58880, 74927, 68191
leo1, 499587, 578234, 471095
s250r10, 9010683, 10305406, 8291230
neos-5104907-jarama, 10470856, 11027066, 13491499
bab2, 8231597, 9286695, 7927274
rail01, 2030414, 3103075, 2235892
ns1952667, 1077480, 1446084, 1118011
supportcase33, 1179208, 1053615, 1090368
supportcase7, 8836933, 10634011, 9477117
tr12-30, 18095, 29356, 24066
swath1, 183404, 232606, 186025
square47, 81570680, 84438803, 73824792
neos-3402294-bobin, 8835384, 5856961, 8958298
neos-933966, 1008832, 1197171, 1091288
neos-1445765, 217931, 349416, 271368
neos-4338804-snowy, 37835, 46151, 39800
fiball, 475984, 948493, 569500
opm2-z10-s4, 2054440, 1594274, 2241540
irp, 505962, 783285, 551820
neos-3402454-bohle, 40228951, 23182968, 40456289
pg5_34, 46778, 77853, 50047
neos-3656078-kumeu, 381769, 473557, 434711
triptim1, 1944089, 1439175, 1776922
mc11, 40584, 63134, 58623
csched008, 30990, 45669, 31820
graphdraw-domain, 18092, 16443, 20261
nu25-pr12, 115033, 187086, 135188
neos5, 5686, 4698, 6433
neos-2657525-crna, 12286, 19787, 14427
savsched1, 10320747, 9944317, 10546035
var-smallemery-m6j6, 3069394, 2896095, 2691987
b1c1s1, 72442, 91970, 91662
uccase9, 1914738, 1418429, 1784284
neos-960392, 849084, 1513325, 992583
fhnw-binpack4-48, 101816, 106471, 106609
neos-3083819-nubu, 156714, 252326, 185980
bab6, 5396522, 6306525, 5261149
map10, 4059095, 4249542, 5071608
n9-3, 141409, 202184, 186019
fast0507, 1282725, 2469332, 1713034
timtab1, 7077, 10178, 7445
drayage-100-23, 250746, 269654, 272273
neos-3004026-krka, 292209, 405585, 324138
gmu-35-40, 42251, 49814, 37212
neos-873061, 2817318, 4061846, 3351458
tbfp-network, 894096, 2137417, 1538413
traininstance6, 261304, 301506, 310760
dws008-01, 362618, 457604, 382009
sp150x300d, 8719, 13610, 11717
decomp2, 346146, 492804, 354236
neos-2746589-doon, 1460084, 1920146, 1581602
neos-848589, 6360152, 11192167, 9094166
wachplan, 332043, 205320, 299928
neos-3381206-awhea, 23793, 56745, 32354
germanrr, 750368, 851183, 734889
sp97ar, 1258683, 1434529, 1180729
n2seq36q, 828356, 1052897, 781173
leo2, 837528, 969480, 786537
neos-5052403-cygnet, 14440631, 15784942, 14495435
neos-3754480-nidda, 11954, 15665, 13950
neos-5114902-kasavu, 21617326, 22736875, 27718032
ic97_potential, 26260, 30397, 25476
mushroom-best, 746435, 456020, 693039
unitcal_7, 781676, 912023, 997288
gfd-schedulen180f7d50m30k18, 7284293, 8527155, 8290811
traininstance2, 329354, 379617, 393873
neos-4954672-berkel, 42946, 57796, 52439
swath3, 183422, 234956, 186029
rail02, 4244101, 6982671, 4802536
neos-957323, 1950076, 2643563, 2080525
enlight_hard, 3872, 6172, 3752
CMS750_4, 333059, 365111, 342876
fastxgemm-n2r6s0t2, 112266, 79508, 106217
bnatt400, 125909, 146196, 128305
ns1116954, 2199181, 1585433, 2251886
neos-4738912-atrato, 112252, 182659, 130618
graph20-20-1rand, 171179, 126514, 161083
uccase12, 2932050, 2655510, 2919528
50v-10, 37959, 61765, 41317
co-100, 7287957, 7438503, 6795944
drayage-25-23, 250750, 269649, 272271
rococoC11-011100, 170569, 230799, 170052
brazil3, 671862, 716548, 761535
rmatr100-p10, 153825, 180171, 173939
neos-4532248-waihi, 3067547, 3229935, 3420839
ex9, 2432094, 1976690, 2436809
physiciansched3-3, 5255220, 4700857, 5458584
assign1-5-8, 12566, 13147, 12801
csched007, 34830, 51139, 36248
mzzv11, 476395, 461657, 518130
neos-3555904-turama, 4000934, 2409865, 3464971
glass-sc, 244253, 108967, 220482
cbs-cta, 455701, 606239, 419542
neos-4387871-tavua, 119012, 147754, 139706
cvs16r128-89, 84844, 113545, 96060
eilA101-2, 3221783, 4691369, 3976796
neos-1171448, 568026, 549720, 588323
supportcase18, 139221, 223382, 164736
neos-4413714-turia, 4388361, 7994172, 4935156
neos-4763324-toguru, 2926380, 3077621, 3229461
neos-787933, 1521295, 4427340, 2064225
neos-1582420, 180792, 269754, 231990
p200x1188c, 36690, 51975, 48730
netdiversion, 3523559, 4147303, 3578862
neos-3754224-navua, 4252348, 3876924, 4833322
nw04, 1875816, 3707112, 2697630
rococoB10-011000, 102783, 148069, 103675
supportcase26, 16561, 14717, 17556
supportcase40, 799627, 726197, 856191
neos-4300652-rahue, 1098496, 1151255, 1344025
istanbul-no-cutoff, 398498, 369144, 402058
blp-ic98, 944213, 1009910, 864430
neos17, 76383, 21450, 22572
radiationm40-10-02, 3321729, 4645967, 4101478
rocII-5-11, 1376352, 962747, 1279107
neos-3046615-murg, 8706, 10801, 9482
neos-860300, 994991, 1238884, 997428
ns1760995, 8844497, 5218628, 8645898
ns1830653, 339657, 253361, 346014
n3div36, 1546075, 1627592, 1415387
dano3_5, 267647, 345794, 371075
piperout-08, 333612, 408411, 336511
sp98ar, 1744913, 1956879, 1613465
proteindesign121hz512p9, 2697139, 4926214, 3080600
hypothyroid-k1, 1272773, 1094809, 1271859
pg, 40207, 67046, 42029
neos-1171737, 218965, 227042, 228858
app1-2, 1394169, 1216135, 1401739
splice1k1, 4957833, 5781955, 4947033
atlanta-ip, 1459587, 2106447, 1620815
neos-2978193-inde, 290433, 410153, 332950
neos-5188808-nattai, 602163, 522630, 712100
supportcase10, 2771990, 2251655, 2937938
mzzv42z, 517017, 504099, 570414
neos-631710, 4433560, 5844046, 5374746
sing326, 1530805, 2007812, 1802824
comp21-2idx, 359953, 361998, 386710
exp-1-500-5-5, 19201, 26315, 19986
satellites2-60-fs, 626369, 942425, 736067
supportcase6, 4280118, 4971058, 4607668
fhnw-binpack4-4, 14138, 15329, 14991
chromaticindex1024-7, 2229056, 3292758, 2312001
sing44, 1608025, 2151872, 1905668
roll3000, 103405, 94742, 112938
seymour1, 143198, 99781, 137351
nursesched-medium-hint03, 2832596, 2123559, 2337111
neos-5195221-niemur, 877067, 757781, 964715
neos-827175, 590523, 861537, 711760
neos-1122047, 1103323, 901225, 1116917
pk1, 4005, 5292, 4341
momentum1, 725301, 604968, 754336
neos-1354092, 521771, 734975, 697090
ns1644855, 5427468, 4129441, 5244212
radiationm18-12-05, 787112, 1091415, 976837
net12, 456877, 457296, 445967
neos-1456979, 198207, 227854, 212745
markshare_4_0, 797, 1559, 875
neos-3627168-kasai, 29391, 42597, 38256
toll-like, 91044, 106040, 92365
rocI-4-11, 212318, 256715, 227420
n5-3, 47192, 72349, 62004
academictimetablesmall, 1246366, 1271584, 1122321
neos-5075914-elvire, 79586, 118989, 102135
neos-5049753-cuanza, 7265612, 7855572, 9319264
trento1, 432430, 460052, 407595
sorrell3, 2757231, 2199737, 2456079
snp-02-004-104, 3682882, 5017420, 4655121
neos-5107597-kakapo, 118273, 122314, 123518
h80x6320d, 201388, 299485, 294433
gen-ip054, 5884, 6549, 5668
square41, 41163139, 42723917, 37724336
physiciansched6-2, 2941739, 3165779, 3294171
irish-electricity, 2557007, 2079695, 2947821
qap10, 82641, 121724, 93800
eil33-2, 143418, 252912, 200532
supportcase19, 28123548, 47422572, 30781088
gen-ip002, 10577, 11397, 10194
rmatr200-p5, 779587, 921227, 896439
neos-3024952-loue, 108040, 136114, 125172
neos-662469, 723284, 902018, 755747
supportcase42, 2359987, 1964082, 2320684
milo-v12-6-r2-40-1, 98049, 88167, 107666
dano3_3, 267627, 345444, 371054
ex10, 5374321, 4263710, 5398218
neos-911970, 16586, 29607, 18681
mas74, 9840, 10982, 9115
thor50dday, 1869276, 1959526, 2004001
